NR_INWENT,C,50;NAZWA,C,200;REGION,C,254;GMINA,C,100;WLASCICIEL,C,254;DLUGOSC,N,19,4;GLEBOKOSC,N,19,4;PRZEWYZSZE,N,19,4;DENIWELACJ,N,19,4;OSUWISKOWA,N,5,0;X_1992,N,19,4;Y_1992,N,19,4;ID,N,10,0
S.II-02.01;Solna Jama (S-2.1);Sudety;Międzylesie (gm. miejsko-wiejska);Skarb Państwa (Lasy Państwowe);40;0;0;0;0;329224,6618;260848,0637;3911
T.D-08.29;Dziura pod Kazalnicą;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;3;0;0;0;0;562679,21;153569,54;1118
G-1.32;Jaskinia pod Fałdem;Region Świętokrzyski;Kielce (gm. miejska);Komunalny;11;5;5;0;0;611686,91;336762,2454;810
N-2.43;Jaskinia w Skorocicach u Ujścia Doliny;Niecka Nidziańska;Wiślica (gm. miejsko-wiejska);Skarb Państwa;122;3;4,5;1,5;0;618623,265;284801,1614;739
N-2.55;Schronisko z Czosnkiem;Niecka Nidziańska;Wiślica (gm. miejsko-wiejska);Prywatny;5;0;0;0;0;619533,8738;282937,3626;751
N-2.53;Schronisko Samotne;Niecka Nidziańska;Wiślica (gm. miejsko-wiejska);Prywatny;3;0;0;0;0;619493,0091;282998,2195;750
J.Cz.IV-03.25;Schronisko Nasze;Wyżyna Śląsko-Krakowska;Pilica (gm. miejsko-wiejska);Skarb Państwa (Lasy Państwowe);9;0;0;0;0;545192,921;284186,7569;2701
K.Bż-05.29;Schronisko w Łysinie IV;Karpaty;Zawoja (gm. wiejska);Skarb Państwa (Lasy Państwowe);2,5;1,2;1,2;0;1;546371,28;196314,18;10154
T.D-08.18;Jaskinia Krwawego Nosa;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;14;0;4;4;0;563195,09;153831,09;1108
T.D-05.08;Schronisko przy Jaskini w Dudzińcu;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;3;0;0;0;0;559745,03;153695,84;1177
T.D-04.04;Jaskinia Mała;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;40;0;2,2;2,2;0;559051,08;153440,58;1070
G-7.24;Wilcza Jama;Region Świętokrzyski;Bliżyn (gm. wiejska);Skarb Państwa (Lasy Państwowe);3,5;1;1;0;0;623131,18;358369,59;897
G-5.12;Mała Dziurawa Studnia;Region Świętokrzyski;Małogoszcz (gm. miejsko-wiejska);Skarb Państwa (Lasy Państwowe);6;3,5;3,5;0;0;592719,9531;327709,3035;863
T.D-08.14;Jaskinia Naciekowa;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;1210;62;97;35;0;563168,69;153923,35;1103
T.D-08.44;Sowia Jama III;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;5;0;0;0;0;562854,14;153683,12;1133
T.B-14.02;Dziura Wyżnia;Tatry;Zakopane (gm. miejska);Skarb Państwa;160;11;14;3;0;568604,69;156434,11;1019
T.D-06.12;Schron pod Kufą Zachodni;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;7,4;0;3,7;3,7;0;560992,26;153403,97;1082
T.D-08.52;Schron ze Świeczką;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;4,7;0;0;0;0;563054,17;153981,3;1160
T.D-08.48;Szczelina za Okrętem III;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;3,7;0;0;0;0;563068,11;154058,64;1138
T.D-08.04;Korytarz do Naciekowej;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;10,5;6;6;0;0;563111,24;153939,83;1091
T.E-11.02;Studnia w Dziurawem;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;30,2;30;30;0;0;565311,54;153178,35;1469
T.D-12.18;Szczelina nad Zagonem;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;12;7,5;7,5;0;0;566438,42;153657,98;1249
T.E-07.12;Schron nad Lejową;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;14;2,5;2,5;0;0;561286,23;153173,84;1307
T.E-05.06;Schron z Płytą;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;3,5;0;0;0;0;559812,29;153042,89;1293
T.E-08.17;Groby;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;125;3,7;3,7;0;0;562970,05;152475,66;1395
T.E-11.10;Jaskinia Lodowa Litworowa;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;460;150;150;0;0;565927,36;152949,73;1475
T.E-11.15;Jaskinia pod Wierchem;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;12;0;4;4;0;565450,78;152827,17;1487
T.E-08.62;Nyża przed Bramą;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;2,3;0;0;0;0;562438,61;153142,34;1438
T.E-09.27;Dziura w Ździarach;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;6;0;2,5;2,5;0;563905,86;153110,91;1465
T.E-08.18;Jaskinia Poszukiwaczy Skarbów;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;330;15,7;30,2;14,5;0;562995,39;152500,33;1396
T.E-09.17;Dziura nad Zachodem;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;8;0;0;0;0;563828,14;152459,37;1452
K.Pw-01.07;Schronisko Niepełne;Karpaty;Czchów (gm. miejsko-wiejska);Skarb Państwa (Lasy Państwowe);1,8;0;0;0;1;617390,68;215675,78;10014
T.E-08.11;Jaskinia przy Żlebie;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;20;0,7;2,4;1,7;0;562632,41;152693,65;1389
T.E-08.24;Szczelina pod Niżnią Zbójnicką Turnią;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;18;5,6;5,6;0;0;562881,9;152671,26;1362
T.E-08.27;Jaskinia pod Niżnią Zbójnicką Turnią;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;30;0;14;14;0;562881,91;152671,26;1364
G-1.6;Schronisko z Żyłą;Region Świętokrzyski;Kielce (gm. miejska);Komunalny;3;0;0;0;0;613856,54;334059,9598;674
T.D-12.04;Tunel pod Siwarową Dziurą;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;7;0;4,5;4,5;0;566579,7;153796,67;1211
T.E-08.60;Szczelina w Żlebie z Bramką I;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;2,5;0;0;0;0;562419,29;153116,84;1436
T.D-16.14;Jaskinia Zwolińskiego;Tatry;Zakopane (gm. miejska);Skarb Państwa;301,5;19,5;34,2;14,7;0;571098,6;154199,51;1243
T.E-05.03;Schronisko pod Dziobem II;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;6;0;0;0;0;560015,09;153009,27;1288
T.D-12.15;Szczelina pod Zagonną Turnią;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;7;0;3;3;0;566447,09;153708,19;1244
T.E-08.16;Dzwonnica;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;20;0;0;0;0;562913,19;152467,16;1394
T.D-12.21;Dziura nad Jaskinią Śpiących Rycerzy II;Tatry;Zakopane (gm. miejska);Skarb Państwa;5,5;0;0;0;0;567233,57;154018,89;1258
T.E-09.14;Korytarzyk pod Jagnięcą;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;3,9;0;1,2;1,2;0;563694,85;152509,83;1444
J.Wl-01.01;Grota Świętej Genowefy;Wyżyna Śląsko-Krakowska;Wierzchlas (gm. wiejska);Skarb Państwa (Lasy Państwowe);2;0;0;0;0;483143,255;359582,7826;1746
T.D-18.09;Szczelina nad Jaskinią Magurską;Tatry;Zakopane (gm. miejska);Skarb Państwa;4;0;2,5;2,5;0;572449,62;153906,96;1281
T.E-08.33;Schron przy Smoczej Jamie;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;3;0;0;0;0;563107,68;152638,24;1402
T.E-08.06;Dziura pod Smoczą Jamą;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;16,6;0;6,75;6,75;0;563118,13;152621,54;1353
T.D-12.11;Dziura nad Korytem;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;9,1;0;0;0;0;566280,65;153806,52;1230
T.E-08.55;Wnęka na Grzędzie;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;7;1,3;1,3;0;0;562316,52;153034,15;1431
T.E-08.15;Dziura nad Jaskinią Raptawicką II;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;19;0;0;0;0;562709,99;152783,66;1393
J.Cz.IV-03.23;Schronisko na Pięciu Zakrętach;Wyżyna Śląsko-Krakowska;Pilica (gm. miejsko-wiejska);Skarb Państwa (Lasy Państwowe);8;0;0;0;0;543564,3129;283123,1674;2699
T.E-08.54;Szczelina na Grzędzie;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;4,6;1,5;1,5;0;0;562360,56;153070,3;1430
T.E-09.09;Krakowskie Okno;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;35;7;21;14;0;563373,87;152438,36;1440
T.E-09.35;Dwuotworowa Szczelina;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;11;0;2,7;2,7;0;563417,89;152512,5;1486
T.E-09.08;Jaskinia Owcza;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;75;0,7;16;15,3;0;563342,78;152593,48;1426
T.D-15.01;Kozi Korytarz;Tatry;Zakopane (gm. miejska);Skarb Państwa;7;0;0;0;0;570036,06;154527,87;1221
T.D-16.13;Szczelina w Myślenickich Turniach Górna;Tatry;Zakopane (gm. miejska);Skarb Państwa;3,5;0;1;1;0;570796,05;154253,08;1241
T.E-07.04;Jaskinia Lejowa Wyżnia;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;97;17,3;17,7;0,4;0;561354,51;153124,66;1289
T.E-08.31;Zamulona Dziura;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;6;0;0;0;0;562775,8;152714,43;1399
T.A-12.04;Jasiowa Nyża;Tatry;Zakopane (gm. miejska);Skarb Państwa;3,8;0;0;0;0;566475,97;156559,25;11051
T.E-08.21;Wyzior;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;24;0;8;8;0;562901,08;152777,72;1400
T.E-07.26;Jaskinia pod Wiśniakową Jamą;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;10;1,8;3,8;2;0;561992,14;153015,58;1324
T.D-12.20;Dziura nad Jaskinią Śpiących Rycerzy I;Tatry;Zakopane (gm. miejska);Skarb Państwa;13;3;3;0;0;567213,85;154008,37;1256
T.E-08.46;Szczelina pod Smoczą Jamą;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;5,5;0;0;0;0;563080,26;152654,51;1417
T.E-08.19;Dziura ze Znakami;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;11;0;0;0;0;563005,97;152515,6;1397
T.E-09.15;Dziura pod Arkadą;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;5,5;0;1;1;0;563540,97;152507,76;1447
T.D-16.11;Myślenicki Korytarzyk;Tatry;Zakopane (gm. miejska);Skarb Państwa;6,5;0;2,1;2,1;0;570798,84;154223,16;1238
T.E-10.02;Studnia w Małej Świstówce;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;12;10;10;0;0;565169,83;153322,72;1448
T.E-09.12;Jaskinia Czarna;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;6500;241,5;303,5;62;0;563329,74;153350,84;1445
T.D-17.06;Kasprowe Schronisko;Tatry;Zakopane (gm. miejska);Skarb Państwa;4,5;1,5;1,5;0;0;571511,13;154127,05;1251
T.E-08.40;Zbójnicka Szczelina;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;15;3,5;6,5;3;0;562888,32;152617,45;1409
T.E-09.31;Dziura nad Żlebem;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;6;0;0;0;0;563534,78;152590,56;1479
T.E-08.59;Jaskinia pod Bramką;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;17;0,9;6,1;5,2;0;562295,75;153063,59;1435
T.E-11.01;Piwnica Miętusia;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;196;6,1;16,3;10,2;0;565278,57;153408,91;1459
K.Bż-05.38;Rozpadlinowe Schronisko;Karpaty;Zawoja (gm. wiejska);Skarb Państwa (Lasy Państwowe);3,5;1,5;1,5;0;1;546296,96;196186,34;10165
T.E-08.13;Szczelina nad Mylną;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;12;0;7;7;0;562671,94;152861,63;1391
T.E-08.52;Omszała Szczelina w Żeleźniaku;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;4,2;0;0;0;0;562392,76;152986,19;1428
T.E-08.50;Szczelina w Głębowcu;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;7,2;0;6,5;6,5;0;562297,99;152978,69;1425
T.D-17.13;Jaskinia Partyzancka II;Tatry;Zakopane (gm. miejska);Skarb Państwa;5;0;0;0;0;572177,33;154244,43;1263
T.D-17.09;Jaskinia Partyzancka I;Tatry;Zakopane (gm. miejska);Skarb Państwa;12;3,4;3,4;0;0;572094,76;154314,37;1255
T.E-08.03;Jaskinia Raptawicka;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;560;22,4;27,2;4,8;0;562744,57;152840,37;1387
T.E-11.14;Zielone Kominy;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;60;0;32;32;0;565516,21;152998,83;1484
T.E-11.03;Komin w Ratuszu;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;70;40;40;0;0;565967,02;153150,7;1470
T.E-09.25;Schron przy Arkadzie;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;6;0;0;0;0;563585,61;152482,95;1464
T.E-07.17;Szczelina przy Zawieszonej Skale I;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;30;12;13,5;1,5;0;561828,64;153188,18;1312
T.E-09.20;Schron pod Owczą II;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;6;0;2;2;0;563326,84;152478,1;1458
T.D-12.08;Szczelina w Iglicy;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;22;4,3;8;3,5;0;566387,02;153711,6;1223
T.E-09.18;Dziura nad Zachodem Wyżnia;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;4;0;1,5;1,5;0;563736,5;152446,96;1455
T.E-09.19;Schron pod Owczą I;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;4;0;2,1;2,1;0;563311,85;152477,71;1457
J.Olk.I-06.12;Komórka z Liśćmi;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Skarb Państwa (Lasy Państwowe);2,3;0;0;0;0;554696,92;255898,244;1851
T.E-09.13;Dziura z Konkrecjami Wyżnia;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;3;0;0;0;0;563624,1;152388;1443
T.E-09.21;Dudzia Dziura;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;23;0,9;6;5,1;0;563494,99;152394,6;1460
T.E-09.23;Jaskinia Pajęcza;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;4;0;1;1;0;563532,65;152368,59;1462
T.E-08.10;Dziura pod Mylną;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;13;0;4;4;0;562740,23;152736,48;1388
T.D-08.54;Schron przy Naciekowej;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;11;0;0;0;0;563180,7;153921,67;1162
T.D-08.57;Bardzo Niska Nyża;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;3,1;0;0;0;0;563124,85;153614,35;1165
N-30Ex;Schron pod Studniami (N-2.76);Niecka Nidziańska;Busko-Zdrój (gm. miejsko-wiejska);Prywatny;4;0;0;0;0;618082,4357;296589,3589;3866
G-12Ex;Jaskinia w Jaźwicy;Region Świętokrzyski;Chęciny (gm. miejsko-wiejska);Prywatny;6;3;3;0;0;605770,579;326938,722;926
G-13Ex;Jaskinia Okopcona;Region Świętokrzyski;Kielce (gm. miejska);;20;0;0;0;0;609406,5394;329052,6503;927
T.D-05.02;Schronisko przy Ścianach;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;6,5;0;1,5;1,5;0;559871,79;153854,13;1097
T.D-08.61;Nyża z Dzięglem;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;4;0;0;0;0;563203,68;153619,4;1169
G-23Ex;Schronisko Galenowe;Region Świętokrzyski;Chęciny (gm. miejsko-wiejska);Prywatny;5;0;0;0;0;596591,6988;332104,1062;937
T.C-05.05;Schron w Skale Kmietowicza II;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;7,2;0;1,3;1,3;0;559695,5;152281,1;1041
T.D-08.13;Jaskinia Balkonowa;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;22;0;0;0;0;563221,03;153870,76;1102
T.D-10.06;Dziura nad Wantulami I;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;5,2;0;3,5;3,5;0;565047,15;153726,14;1192
T.D-08.11;Przelot;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;9;0;0;0;0;563222,24;153900,78;1100
K.Bsd-01.02;Jaskinia Szeleszcząca;Karpaty;Stary Sącz (gm. miejsko-wiejska);Skarb Państwa (Lasy Państwowe);5;0;0;0;0;611870,2569;179794,0235;2830
T.D-10.01;Jaskinia Miętusia Wyżnia;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;810;108;145;37;0;565083,82;153450,45;1187
G-20Ex;Jaskinia w Rudkach;Region Świętokrzyski;Nowa Słupia (gm. wiejska);;45;30;30;0;0;647670,35;338773,66;934
J.Olk.I-09.03;Jaskinia Żarska Górna;Wyżyna Śląsko-Krakowska;Krzeszowice (gm. miejsko-wiejska);Skarb Państwa (Lasy Państwowe);15;3;3;0;0;550272,65;255410;11062
J.Olk.I-10.03;Schronisko ze Skarbem;Wyżyna Śląsko-Krakowska;Krzeszowice (gm. miejsko-wiejska);Prywatny;7;0,9;2,2;1,3;0;547511,77;253609,16;10868
T.D-08.28;Korytarz z Różą;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;8,8;0;0;0;0;563221,79;153841,79;1117
T.D-08.47;Szczelina za Okrętem II;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;11;0;0;0;0;563069,11;154058,67;1137
G-8.10;Stroma Szczelina;Region Świętokrzyski;Bałtów (gm. wiejska);Prywatny;10,5;2,5;6;3,5;0;678250,44;352685,91;913
T.D-09.08;Dziura w Organach IV;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;6,5;0;5;5;0;563273,08;153641,23;1181
T.D-06.10;Schron w Opalonem I;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;4;0;0;0;0;560647,58;153850,67;1080
T.D-08.01;Dziurawiec;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;22;0;0;0;0;562949,18;154322,39;1087
T.B-12.09;Nyża przy Jatkach;Tatry;Zakopane (gm. miejska);Skarb Państwa;3;0;0;0;0;567127,78;155750,44;1016
G-4Ex;Jaskinie na Rzepce;Region Świętokrzyski;Chęciny (gm. miejsko-wiejska);Skarb Państwa;0;0;0;0;0;602135,7432;326619,0468;918
T.D-06.08;Jaskinia Lodowa nad Kufą;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;20;3,5;3,5;0;0;561044,32;153325,37;1078
G-1.42;Chelosiowa Jama-Jaskinia Jaworznicka;Region Świętokrzyski;Piekoszów (gm. wiejska);Skarb Państwa;3670;57;61;4;0;605460,42;333542,96;820
T.D-08.40;Zimna Szczelina III;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;8;4;4;0;0;562729,76;153536,73;1129
G-8.2;Jaskinia Wysoka w Podgrodziu;Region Świętokrzyski;Ćmielów (gm. miejsko-wiejska);Prywatny;6,5;0;3;3;0;678997,4879;340656,4202;905
G-5.7;Schronisko Ciasne;Region Świętokrzyski;Chęciny (gm. miejsko-wiejska);Skarb Państwa (Lasy Państwowe);4;0;0;0;0;592489,5204;330763,1017;858
T.B-09.06;Mała Dziura w Kończystej Turni;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;3,3;1;1;0;0;563879,21;155554,52;972
T.D-10.03;Jaskinia Niedźwiedzia Niżnia;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;24;2,5;4;1,5;0;565121,54;153748,1;1189
T.D-08.26;Wielka Nyża;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;9;0;8;8;0;562549,56;153596,1;1090
J.GT-02.02Ex;Schronisko obok Kochanowa II;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Skarb Państwa (Lasy Państwowe);3;0;0;0;0;553310,59;249739,3262;3330
T.D-09.11;Dziura w Organach I;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;8;0;3;3;0;563328,75;153652,7;1184
T.D-13.05;Nyża pod Brzózką;Tatry;Zakopane (gm. miejska);Skarb Państwa;4;0;0;0;0;567666,24;154365,21;1205
G-8.11;Szpara w Łomiku;Region Świętokrzyski;Bałtów (gm. wiejska);Prywatny;4;0,5;0,5;0;0;678304,6024;352811,4238;914
T.B-24.01;Grota Filipczańska nad Mostkiem;Tatry;Poronin (gm. wiejska);Skarb Państwa;10;0;0;0;0;578540,67;156755,43;1033
T.E-09.01;Gawra;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;17;1,8;1,8;0;0;563668,8;152550,12;1408
T.D-08.03;Jaskinia nad Mostkiem Wyżnia;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;25;1;8,5;7,5;0;562761,59;154083,52;1089
T.D-08.12;Dziura pod Oknem;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;33;9;9;0;0;563187,36;153858,87;1101
G-2.4;Jaskinia Gwarecka;Region Świętokrzyski;Chęciny (gm. miejsko-wiejska);Skarb Państwa;84;21;21;0;0;604778,4639;329544,3229;824
T.C-13.03;Nyża Giewontowa;Tatry;Zakopane (gm. miejska);Skarb Państwa;3,5;0;0;0;0;568054,43;154541,42;1047
T.D-13.04;Szczelina w Żlebie Kirkora;Tatry;Zakopane (gm. miejska);Skarb Państwa;5,5;0;4;0;0;567671,19;154455,16;1204
T.D-08.49;Nisza z Jaworem;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;10,4;0;0;0;0;563046,05;154137,03;1139
T.D-11.02;Nyża przy Schodkach;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;6;0;4;4;0;566274,79;153608,67;1198
G-1Ex;Schronisko w Starej Kamionce;Region Świętokrzyski;Krasocin (gm. wiejska);Prywatny;6;2,5;2,5;0;0;584358,4126;332848,6999;915
G-7.25;Schronisko z Kością;Region Świętokrzyski;Bliżyn (gm. wiejska);Skarb Państwa (Lasy Państwowe);4;0,5;0,5;0;0;623227,6957;358402,7912;898
T.D-08.60;Okno w Zamczysku;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;9;8;8;0;0;563199,29;153672,26;1168
K.Ps-01.04;Jaskinia w Cisownicy;Karpaty;Goleszów (gm. wiejska);Skarb Państwa (Lasy Państwowe);10;0;0;0;0;481164,84;204593,12;10010
T.D-08.25;Jaskinia Zawaliskowa w Stołach;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;8;0;0;0;0;562606,25;153644,58;1115
J.Olk.I-10.16;Schronisko Paczółtowickie Dolne II;Wyżyna Śląsko-Krakowska;Krzeszowice (gm. miejsko-wiejska);Skarb Państwa (Lasy Państwowe);6,2;0;0;0;0;545703,41;256705,87;10916
T.D-10.07;Dziura nad Wantulami II;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;3;0;2;2;0;565052,01;153731,27;1193
T.D-13.01;Kozia Grota;Tatry;Zakopane (gm. miejska);Skarb Państwa;7,4;0;0;0;0;568201,83;154335,39;1200
T.D-09.10;Dziura w Organach II;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;5;0;0;0;0;563320,48;153625,49;1178
K.Bs-04.40;Studnia ORG;Karpaty;Brenna (gm. wiejska);Skarb Państwa (Lasy Państwowe);6,5;4;4;0;1;496660,98;200653,7;10209
T.E-08.05;Jaskinia Obłazkowa;Tatry;Kościelisko (gm. wiejska);Skarb Państwa (Lasy Państwowe);214;0;8,1;8,1;0;562718,17;152815,67;1351
T.D-08.37;Dziura nad Wapiennikiem;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;14,5;0;0;0;0;562901,74;154151,2;1126
T.D-08.41;Wiciowy Schron;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;4,3;0;0;0;0;562731,69;153512,95;1134
T.D-05.01;Dziura nad Potokiem;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;150;0;0;0;0;559313,46;153951,32;981
T.D-10.08;Dziura nad Wantulami III;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;3,4;0;0;0;0;565071,99;153731,8;1194
T.D-08.45;Dziurawa Koleba;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;4,5;0;0;0;0;563126,37;153859,26;1136
T.D-08.55;Dziura w Organach VI;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;7;0;0;0;0;563011,53;153643,07;1163
T.D-06.01;Jaskinia pod Baranami;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;23;0;5;5;0;560754,1;153375,67;985
T.D-05.09;Jaskinia w Dudzińcu;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;17;3,5;5;1,5;0;559730,32;153685,46;1180
T.D-08.42;Sowia Jama I;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;18;9,2;9,2;0;0;562879,07;153685,78;1131
T.D-08.39;Zimna Szczelina II;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;15,5;0;7;7;0;562760,15;153600,99;1128
T.D-09.09;Dziura w Organach III;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;3;0;0;0;0;563248,75;153578,61;1183
G-1.39;Duża Dziura w Jaworzni;Region Świętokrzyski;Piekoszów (gm. wiejska);Skarb Państwa;15;0;4;4;0;605281,4;333693,78;817
T.D-08.27;Otwarty Schron;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;17;7;7;0;0;562401,35;153568,19;1116
T.D-08.46;Szczelina za Okrętem I;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;13,5;0;3,5;3,5;0;562478,59;154125,01;1135
J.Cz.I-01.05;Jaskinia Mysia;Wyżyna Śląsko-Krakowska;Częstochowa (gm. miejska);Prywatny;80;20,5;20,5;0;0;513896,5442;325049,4688;2155
K.Bsd-01.42;Jaskinia Skalska;Karpaty;Szczawnica (gm. miejsko-wiejska);Skarb Państwa (Lasy Państwowe);95,5;21,5;21,5;0;1;609151,12;178905,12;10001
T.E-08.37;Raptawicki Tunelik;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;3,5;0;0,6;0,6;0;562601,41;152731,81;1406
J.Olk.I-10.17;Schronisko Paczółtowickie Górne;Wyżyna Śląsko-Krakowska;Krzeszowice (gm. miejsko-wiejska);Skarb Państwa (Lasy Państwowe);16,1;0;1,1;1,1;0;545705,5;256693,53;10917
T.D-10.02;Schron w Piecu;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;2,8;0;0;0;0;564493,11;153773,46;1188
T.D-09.07;Schron pomiędzy Żwirowymi Dziurami;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;2;0;0;0;0;563249,21;153825,52;1179
T.B-09.13;Ciasna Norka;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;2,4;0,6;0,6;0;0;563927,46;155430,85;987
T.D-05.10;Szczelina nad Jaskinią w Dudzińcu;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;15;0;8,5;8,5;0;559730,32;153685,46;1182
G-6.Ex;Schronisko Dujące;Region Świętokrzyski;Piekoszów (gm. wiejska);Prywatny;0;0;0;0;0;607777,0919;335907,3217;920
G-7Ex;Jaskinia w Szczukowskich Górkach;Region Świętokrzyski;Piekoszów (gm. wiejska);Prywatny;0;0;0;0;0;606932,0203;336136,9775;921
